journal	category1	category2	category3	category4	category5	category6
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS	COMPUTER SCIENCE, HARDWARE & ARCHITECTURE					
ACM TRANSACTIONS ON SENSOR NETWORKS	COMPUTER SCIENCE, INFORMATION SYSTEMS	TELECOMMUNICATIONS				
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY	COMPUTER SCIENCE, SOFTWARE ENGINEERING					
ACM TRANSACTIONS ON STORAGE	COMPUTER SCIENCE, HARDWARE & ARCHITECTURE	COMPUTER SCIENCE, SOFTWARE ENGINEERING				
ACM TRANSACTIONS ON THE WEB	COMPUTER SCIENCE, INFORMATION SYSTEMS	COMPUTER SCIENCE, SOFTWARE ENGINEERING				
ACOUSTICAL PHYSICS	ACOUSTICS					
ACOUSTICS AUSTRALIA	ACOUSTICS					
ACS APPLIED MATERIALS & INTERFACES	MATERIALS SCIENCE, MULTIDISCIPLINARY	NANOSCIENCE & NANOTECHNOLOGY				
ACS BIOMATERIALS SCIENCE & ENGINEERING	MATERIALS SCIENCE, BIOMATERIALS					
ACS CATALYSIS	CHEMISTRY, PHYSICAL					
ACS CENTRAL SCIENCE	CHEMISTRY, MULTIDISCIPLINARY					
ACS CHEMICAL BIOLOGY	BIOCHEMISTRY & MOLECULAR BIOLOGY					
ACS CHEMICAL NEUROSCIENCE	BIOCHEMISTRY & MOLECULAR BIOLOGY	CHEMISTRY, MEDICINAL	NEUROSCIENCES			
ACS COMBINATORIAL SCIENCE	CHEMISTRY, APPLIED	CHEMISTRY, MEDICINAL	CHEMISTRY, MULTIDISCIPLINARY			
ACS EARTH AND SPACE CHEMISTRY	CHEMISTRY, MULTIDISCIPLINARY	GEOCHEMISTRY & GEOPHYSICS				
ACS ENERGY LETTERS	CHEMISTRY, PHYSICAL	ELECTROCHEMISTRY	ENERGY & FUELS	MATERIALS SCIENCE, MULTIDISCIPLINARY	NANOSCIENCE & NANOTECHNOLOGY	
ACS INFECTIOUS DISEASES	CHEMISTRY, MEDICINAL	INFECTIOUS DISEASES				
ACS MACRO LETTERS	POLYMER SCIENCE					
ACS MEDICINAL CHEMISTRY LETTERS	CHEMISTRY, MEDICINAL					
ACS NANO	CHEMISTRY, MULTIDISCIPLINARY	CHEMISTRY, PHYSICAL	MATERIALS SCIENCE, MULTIDISCIPLINARY	NANOSCIENCE & NANOTECHNOLOGY		
ACS PHOTONICS	MATERIALS SCIENCE, MULTIDISCIPLINARY	NANOSCIENCE & NANOTECHNOLOGY	OPTICS	PHYSICS, APPLIED	PHYSICS, CONDENSED MATTER	
ACS SENSORS	CHEMISTRY, MULTIDISCIPLINARY	NANOSCIENCE & NANOTECHNOLOGY				
ACS SUSTAINABLE CHEMISTRY & ENGINEERING	CHEMISTRY, MULTIDISCIPLINARY	ENGINEERING, CHEMICAL	GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY			
ACS SYNTHETIC BIOLOGY	BIOCHEMICAL RESEARCH METHODS					
ACSMS HEALTH & FITNESS JOURNAL	SPORT SCIENCES					
ACTA ACUSTICA UNITED WITH ACUSTICA	ACOUSTICS					
ACTA ADRIATICA	MARINE & FRESHWATER BIOLOGY	OCEANOGRAPHY				
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE					
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE	AGRONOMY	SOIL SCIENCE				
ACTA ALIMENTARIA	FOOD SCIENCE & TECHNOLOGY	NUTRITION & DIETETICS				
ACTA AMAZONICA	ECOLOGY	PLANT SCIENCES	ZOOLOGY			
ACTA ANAESTHESIOLOGICA SCANDINAVICA	ANESTHESIOLOGY					
ACTA APPLICANDAE MATHEMATICAE	MATHEMATICS, APPLIED					
ACTA ARITHMETICA	MATHEMATICS					
ACTA ASTRONAUTICA	ENGINEERING, AEROSPACE					
ACTA ASTRONOMICA	ASTRONOMY & ASTROPHYSICS					
ACTA BIOCHIMICA ET BIOPHYSICA SINICA	BIOCHEMISTRY & MOLECULAR BIOLOGY	BIOPHYSICS				
ACTA BIOCHIMICA POLONICA	BIOCHEMISTRY & MOLECULAR BIOLOGY					
ACTA BIOETHICA	MEDICAL ETHICS					
ACTA BIOLOGICA COLOMBIANA	PLANT SCIENCES	ZOOLOGY				
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA	PLANT SCIENCES					
ACTA BIOLOGICA HUNGARICA	BIOLOGY					
ACTA BIOMATERIALIA	ENGINEERING, BIOMEDICAL	MATERIALS SCIENCE, BIOMATERIALS				
ACTA BIOQUIMICA CLINICA LATINOAMERICANA	MEDICAL LABORATORY TECHNOLOGY					
ACTA BIOTHEORETICA	MATHEMATICAL & COMPUTATIONAL BIOLOGY					
ACTA BOTANICA BRASILICA	PLANT SCIENCES					
ACTA BOTANICA CROATICA	PLANT SCIENCES					
ACTA BOTANICA MEXICANA	PLANT SCIENCES					
ACTA CARDIOLOGICA	CARDIAC & CARDIOVASCULAR SYSTEMS					
ACTA CARDIOLOGICA SINICA	CARDIAC & CARDIOVASCULAR SYSTEMS					
ACTA CARSOLOGICA	GEOSCIENCES, MULTIDISCIPLINARY					
ACTA CHIMICA SINICA	CHEMISTRY, MULTIDISCIPLINARY					
ACTA CHIMICA SLOVENICA	CHEMISTRY, MULTIDISCIPLINARY					
ACTA CHIROPTEROLOGICA	ZOOLOGY					
ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA	ORTHOPEDICS					
ACTA CHIRURGICA BELGICA	SURGERY					
ACTA CHROMATOGRAPHICA	CHEMISTRY, ANALYTICAL					
ACTA CIRURGICA BRASILEIRA	SURGERY					
ACTA CLINICA BELGICA	MEDICINE, GENERAL & INTERNAL					
ACTA CLINICA CROATICA	MEDICINE, GENERAL & INTERNAL					
ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES	CHEMISTRY, MULTIDISCIPLINARY	CRYSTALLOGRAPHY				
ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS	CHEMISTRY, MULTIDISCIPLINARY	CRYSTALLOGRAPHY				
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY	CHEMISTRY, MULTIDISCIPLINARY	CRYSTALLOGRAPHY				
ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY	BIOCHEMICAL RESEARCH METHODS	BIOCHEMISTRY & MOLECULAR BIOLOGY	BIOPHYSICS	CRYSTALLOGRAPHY		
ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS	BIOCHEMICAL RESEARCH METHODS	BIOCHEMISTRY & MOLECULAR BIOLOGY	BIOPHYSICS	CRYSTALLOGRAPHY		
ACTA DERMATO-VENEREOLOGICA	DERMATOLOGY					
ACTA DERMATOVENEROLOGICA CROATICA	DERMATOLOGY					
ACTA DIABETOLOGICA	ENDOCRINOLOGY & METABOLISM					
ACTA ENDOCRINOLOGICA-BUCHAREST	ENDOCRINOLOGY & METABOLISM					
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE	ENTOMOLOGY					
ACTA ETHOLOGICA	BEHAVIORAL SCIENCES	ZOOLOGY				
ACTA GASTRO-ENTEROLOGICA BELGICA	GASTROENTEROLOGY & HEPATOLOGY					
